109-12826	Allianz/OECD, Organisation for Economic Co-Operation and Development (2005): Small sizes that matter: Opportunities and risks of Nanotechnologies. Report in co-operation with the OECD International Futures Programme, Allianz Center for Technology, München; Paris.
109-12826	Bachmann, Gerd (1994): Technologieanalyse Nanotechnologie. VDI Technologieanalyse, VDI, Düsseldorf.
109-12826	Bachmann, Gerd (1998): Analyse und Bewertung zukünftiger Technologien. Innovationsschub aus dem Nanokosmos, VDI Technologiezentrum, Düsseldorf.
109-12826	Baird, Davis/Shew, Ashley (2004): Probing the History of Scanning Tunneling Microscopy, in: Baird, Davis/Alfred Nordmann/Joachim Schummer (Hrsg.): Discovering the Nanoscale, Amsterdam: 145-156.
109-12826	BMBF, Bundesministerium für Bildung und Forschung (2002a): Standortbestimmung. Nanotechnologie in Deutschland, Bonn.
109-12826	- (2002b): Strategische Neuausrichtung. Nanotechnologie in Deutschland, Bonn.
109-12826	- (2004a): Nanotechnologie erobert Märkte. Deutsche Zukunftsoffensive für Nanotechnologie, Bonn.
109-12826	- (2004b): NanoTruck. Reise in den Nanokosmos. Die Welt kleinster Dimensionen, Bonn.
109-12826	- (2005): Nanotechnologie. Innovationen für die Welt von morgen, Bonn.
109-12826	- (2006): Nano-Initiative – Aktionsplan 2010, BMBF, Bonn.
109-12826	BMBF, Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie (1998): Nanotechnologie. Innovationsschub aus dem Nanokosmos.
109-12826	BMU Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit; Umweltbundesamt; Bundesanstalt für Arbeitsschutz und Arbeitsmedizin et al. (2005): Stakeholder Dialog Synthetische Nanopartikel. Dokumentation zur „Bewertung von synthetischen Nanopartikeln in Arbeits- und Umweltbereichen“, Dialog Nanopartikel, Bundesumweltministerium Bonn.
109-12826	Bundesregierung (2006): Antwort der Bundesregierung auf die Kleine Anfrage der Abgeordneten Hans-Josef Fell, Ulrike Höfken, Priska Hinz (Herborn), weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN – Drucksache 16/2150 – Potenziale und Risiken der Nanotechnologie, Berlin.
109-12826	Canzler, Weert; Dierkes, Meinolf (2001): Informationelle Techniksteuerung: Öffentliche Diskurse und Leitbildentwicklungen, in: Simonis, Georg; Renate Martinsen; Thomas Saretzki (Hrsg.): Politik und Technik. Analysen zum Verhältnis von technologischem, politischem und staatlichem Wandel am Anfang des 21. Jahrhunderts. PVS Sonderheft 31., Opladen: 457 – 475.
109-12826	Coenen, Christopher (2004): Nanofuturismus: Anmerkungen zu seiner Relevanz, Analyse und Bewertung, in: Technikfolgenabschätzung – Theorie und Praxis 13 (2): 78-85.
109-12826	Crichton, Michael (2002): Beute, München.
109-12826	Drexler, Eric K.; Peterson, Chris; Pergamit, Gayle (1991): Experiment Zukunft. Die nanotechnologische Revolution, Bonn; Paris; Reading.
109-12826	Drexler, K. Eric (1987): Engines of Creation. The Coming Era of Nanotechnology, New York.
109-12826	Dürrenberger, Franz; Höck, Jürgen; Höhener, Franz (2004): Overview of completed an ongoing activities in the field: Safety and Risks in the Field of Nanotechnology, TEMAS AG, Arbon.
109-12826	EEA, European Environment Agency (2001): Late lessons from early warnings. The precautionary principle 1896–2000, Copenhagen.
109-12826	Eickenbusch, Heinz; Hoffknecht, Andreas; Holtmannspötter, Dirk et al. (2003): Technologiefrüherkennung. Monitoring-Bericht. Ansätze zur technischen Nutzung der Selbstorganisation., VDI Technologiezentrum GmbH, Düsseldorf.
109-12826	Eigler, Don (1999): From the bottom up. Buildung things with Atoms, in: Timp, Gregory L. (Hrsg.): Nanotechnology, New York; Berlin; Heidelberg: 425-435.
109-12826	Eigler, Don; Schweizer, E. K. (1990): Positioning single atoms with a scanning tunneling microscope, in: Nature 344 (5 April 1990): 524-526.
109-12826	EPA, U.S. Environmental Protection Agency (2005): Nanotechnology White Paper. External Review Draft. Prepared for the U.S. Environmental Protection Agency by Members of the Nanotechnology Workgroup, a Group of EPA’s Science Policy Council, Washington.
109-12826	ETC Group (2002): No Small Matter! Nanotech Particles Penetrate Living Cells and Accumulate in Animal Organs, Winnipeg.
109-12826	ETC Group (2003a): From Genomes to Atoms. The Big Down. Atomtech: Technologies Converging at the Nano-scale, Winnipeg.
109-12826	ETC Group (2003b): Green Goo: Nanobiotechnology Comes Alive!, Winnipeg.
109-12826	ETC Group (2003c): Size Matters! The Case for a Global Moratorium. No Small Matter II, Winnipeg.
109-12826	ETC Group (2004a): 26 Governments Tiptoe Toward Global Nano Governance. Grey-GoovernanceNews Release, Winnipeg.
109-12826	ETC Group (2004b): Down on the Farm: The Impact of Nano-scale Technologies on Food and Agriculture, Winnipeg.
109-12826	ETC Group (2005): Nanotech’s Second Nature’ Patents: Implications for the Global South, Ottawa.
109-12826	ETC Group (2006): Nanotech Rx. Medical Applications of Nano-scale Technologies: What Impact on Marginalized Communities?, Winnipeg.
109-12826	Europäische Kommission (2004): Auf dem Weg zu einer europäischen Strategie für Nanotechnologie, Kommission der Europäischen Gemeinschaften, Brüssel.
109-12826	European Commission (2004a): Towards a European Strategy for Nanotechnology, Commission of the European Communities, Brüssel.
109-12826	European Commission (2005a): Communication from the Commission to the Council, the European Parliament and the Economic and Social Committee. Nanosciences and nanotechnologies: An action plan for Europe 2005-2009, Commission of the European Communities, Brussels.
109-12826	European Commission (2005b): Social values, Science and Technology, Commission of the European Communities, Brüssel.
109-12826	European Commission, Community Health and Consumer Protection Directorate General (2004b): Nanotechnologies: A Preliminary Risk Analysis On The Basis of a Workshop Organized in Brussels on 1–2 March 2004 by the Health and Consumer Protection Directorate General, Brüssel.
109-12826	Feynman, Richard P. (1959): There’s Plenty of Room at the Bottom. Vortrag am 29. Dezember 1959 (zuerst erschienen in: Engineering and Science), California Institute of Technology, in: http://www.its.caltech.edu/ feynman/plenty.html.
109-12826	Foucault, Michel (1991): Die Ordnung des Diskurses, Frankfurt am Main.
109-12826	Fraunhofer Institut für Silikatforschung/Innovationsforschung, Fraunhofer Institut für Systemtechnik und (2003): Produktion von und mit Nanomaterialien. Untersuchung des Forschungsund Handlungsbedarfs für die industrielle Produktion, Würzburg; Karlsruhe.
109-12826	Gaskell, George; Einsiedel, Edna; Hallman, William et al. (2005): Communication: Enhanced: Social Values and the Governance of Science, in: Science 310 (5756): 1908-1909.
109-12826	Gaskell, George; Eyck, Toby Ten; Jackson, Jonathan, et al. (2005): Imagining nanotechnology: cultural support for technological innovation in Europe and the United States, in: Public Understanding of Science 14 (1): 81-90.
109-12826	Gieryn, Thomas F (1995): Boundaries of Science, in: Jasanoff, Sheila; Gerald E. Markle; James C. Petersen; Trevor C. Pinch (Hrsg.): Handbook of Science and Technology Studies, Thousand Oakes: 393-444.
109-12826	Gieryn, Thomas F (1999): Cultural Boundaries of Science, Chicago.
109-12826	Gottweis, Herbert (1998): Governing Molecules. The Discursive Politics of Genetic Engineering in Europe and the United States, Cambridge, Massachusetts; London, England.
109-12826	Gottweis, Herbert (2005): Governing Genomics in the 21st century: Between Risk and Uncertainty, in: New Genetics & Society 24 (2): 175-194.
109-12826	Grande, Edgar (2001): Von der Technologiepolitik zur Innovationspolitik. Europäische Forschungs- und Technologiepolitik im Zeitalter der Globalisierung, in: Simonis, Georg; Renate Martinsen; Thomas Saretzki (Hrsg.): Politik und Technik. Analysen zum Verhältnis von technologischem, politischem und staatlichem Wandel am Anfang des 21. Jahrhunderts, Opladen: 368-387.
109-12826	Greenpeace Magazin (2000).
109-12826	Grobe, Antje; Eberhard, Caspar; Hutterli, Martin (2005): Nanotechnologie im Spiegel der Medien: Medienanalyse zur Berichterstattung über Chancen und Risiken der Nanotechnologie. Januar 2001 – April 2005, Stiftung Risiko-Dialog, St. Gallen.
109-12826	Grunwald, Armin (2004): Vision Assessment as New Element of the FTA Toolbox. Vortrag, EU-US Seminar: New Technology Foresight, Forecasting & Assessment Methods, 13.-14.05.2004, Sevilla.
109-12826	Haraway, Donna (1997): Modest_Witness@Second_Millenium. FemaleMan_Meets_OncoMouse, London.
109-12826	Helmer, Olaf; Gordon, Theodore J. (1967): 50 Jahre Zukunft. Bericht über eine LangfristVorhersage für die Welt der nächsten fünf Jahrzehnte, Hamburg.
109-12826	HWAG, Hanseatisches Wertpapierhandelshaus/PERFORMAXX (2001): Research-Studie. Nanotechnologie I. Grundlagen., Hamburg.
109-12826	International Risk Governance Council (2004): Nanotechnology, Geneva.
109-12826	Joly, Pierre-Benoît; Callon, Michel; Dianoux, Laurent et al. (2005): Democratie locale et Maitrise sociale des Nanotechnologies, http://sciencescitoyennes.org/IMG/pdf/NanoGrenoble_ rapport_final_05_09_22.pdf.
109-12826	Joy, Bill (2000a): Warum die Zukunft uns nicht braucht. Die mächtigsten Technologien des 21. Jahrhunderts – Robotik, Gentechnik und Nanotechnologie – machen den Menschen zur gefährdeten Art, in: Frankfurter Allgemeine Zeitung, 130, 6. Juni: 49-51.
109-12826	Joy, Bill (2000b): Why the future doesn’t need us. Our most powerful 21st-century technologies – robotics, genetic engineering, and nanotech – are threatening to make humans an endangered species., in: Wired (Issue 8.04).
109-12826	Kahn, Herman; Wiener, Anthony J. (1971): Ihr werdet es erleben. Voraussagen der Wissenschaft bis zum Jahre 2000, Reinbek bei Hamburg.
109-12826	Kurath, Monika; Maasen, Sabine (2006): Toxicology as a Nanoscience? – Disciplinary Identities Reconsidered, in: Particle and Fibre Toxicology 3 (6): o. S.
109-12826	Lee, Chul-Joo; Scheufele, Dietram A.; Lewenstein, Bruce V. (2005): Public Attitudes toward Emerging Technologies: Examining the Interactive Effects of Cognitions and Affect on Public Attitudes toward Nanotechnology, in: Science Communication 27 (2): 240-267.
109-12826	Luther, Wolfgang (2004): Industrial application of nanomaterials – chances and risks. Technology analysis., VDI-Technologiezentrum GmbH, Düsseldorf.
109-12826	Luther, Wolfgang; Bachmann, Gerd; Zweck, Axel et al. (2006): Kommerzialisierung der Nanotechnologie, VDI Technologiezentrum, Düsseldorf.
109-12826	Luther, Wolfgang; Malanowski, Norbert; Bachmann, Gerd et al. (2004): Nanotechnologie als wirtschaftlicher Wachstumsmarkt, VDI-Technologiezentrum, Düsseldorf.
109-12826	Malsch, Ineke; Oud, Mireille (2004): Outcome of the Open Consultation on the European Strategy for Nanotechnology, nanoforum.org, o. O.
109-12826	Marcinkowski, Frank (2001): Öffentliche Kommunikation als präventive Risikoerzeugung – Politikwissenschaftlich relevante Ansätze der Risikoforschung und neue empirische Befunde, in: Simonis, Georg; Renate Martinsen; Thomas Saretzki (Hrsg.): Politik und Technik. Analysen zum Verhältnis von technologischem, politischem und staatlichem Wandel am Anfang des 21. Jahrhunderts: 147-166.
109-12826	Marlow, John Robert (2005): Nano, New York.
109-12826	Milburn, Colin (2002): Nanotechnology in the Age of Posthuman Engineering: Science Fiction as Science, in: Configurations 10 (2, Spring 2002): 261-296.
109-12826	Nanoforum Consortium (2004): 4th Nanoforum Report: Benefits, Risks, Ethical, Legal and Social Aspects of Nanotechnology, nanoforum.org, o. O.
109-12826	National Science and Technology Council (1999): Nanotechnology. Shaping the World Atom by Atom, Washington.
